gene,comparison_experiment_count,sample,pearson_r,voxel_count,pearson_r_brain,voxel_count_brain,pearson_r_atlas_regions,atlas_region_count,pearson_r_real_data,voxel_count_real_data,pearson_r_interpolated_only,voxel_count_interpolated_only,reference_experiment_ids,comparison_experiment_ids,excluded_experiment_id,seed
Cacna2d1,1,50,0.5625143,1295040,0.42861348,511377,0.8286178,698,0.4046911,60388,0.43209493,450989,"[72119649, 75042246, 78544953, 78544957, 78544963, 78544979, 78557703, 78557705, 78557707, 78557709, 78557711, 79707532, 79707760, 80409515, 80409517]",[80409519],78544983.0,20260812
Cacna2d1,1,51,0.5662148,1295040,0.44959,511377,0.8864834,698,0.45794028,58270,0.4484924,453107,"[75042246, 78544953, 78544955, 78544959, 78544961, 78544965, 78544979, 78557703, 78557705, 79707526, 79707530, 79707532, 79707760, 80409515, 80409521]",[78557707],78544983.0,20260812
Cacna2d1,1,52,0.5195655,1295040,0.3811506,511377,0.7916261,698,0.38663232,61233,0.38043272,450144,"[72119649, 75042246, 78544953, 78544961, 78544963, 78544979, 78544981, 78557705, 78557707, 79707516, 79707530, 79707532, 79707760, 80409515, 80409517]",[80409521],78544983.0,20260812
Cacna2d1,1,53,0.58061063,1295040,0.45343357,511377,0.8357618,698,0.4420932,59582,0.4549307,451795,"[75042246, 78544953, 78544955, 78544959, 78544961, 78544965, 78544979, 78544981, 78557703, 78557705, 78557709, 78557711, 79707516, 79707530, 80409519]",[79707526],78544983.0,20260812
Cacna2d1,1,54,0.61278856,1295040,0.486843,511377,0.8690827,698,0.4800222,59424,0.4878413,451953,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544961, 78544979, 78544981, 79707516, 79707526, 79707532, 79707760, 80409515, 80409517, 80409521]",[79707530],78544983.0,20260812
Cacna2d1,1,55,0.54468346,1295040,0.41662014,511377,0.8364708,698,0.41388184,57234,0.41694996,454143,"[75042246, 78544953, 78544957, 78544959, 78544963, 78544981, 78557705, 78557707, 78557709, 79707526, 79707760, 80409515, 80409517, 80409519, 80409521]",[78544961],78544983.0,20260812
Cacna2d1,1,56,0.6064185,1295040,0.47182053,511377,0.86802113,698,0.48697808,53364,0.4697079,458013,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544981, 78557703, 78557705, 78557707, 78557709, 79707516, 79707526, 79707530, 80409515, 80409519]",[79707532],78544983.0,20260812
Cacna2d1,1,57,0.59206176,1295040,0.48459837,511377,0.8735436,698,0.48743838,58769,0.48419622,452608,"[72119649, 75042246, 78544953, 78544955, 78544957, 78544959, 78544965, 78557709, 79707516, 79707530, 79707532, 79707760, 80409517, 80409519, 80409521]",[78557705],78544983.0,20260812
Cacna2d1,1,58,0.60495055,1295040,0.47074938,511377,0.8713838,698,0.48349175,53364,0.46891972,458013,"[75042246, 78544953, 78544955, 78544959, 78544961, 78544963, 78544965, 78544979, 78544981, 78557703, 79707526, 80409515, 80409517, 80409519, 80409521]",[79707532],78544983.0,20260812
Cacna2d1,1,59,0.5465028,1295040,0.4207433,511377,0.8349966,698,0.4189831,57234,0.42095828,454143,"[72119649, 75042246, 78544953, 78544957, 78544959, 78544963, 78544965, 78544979, 78544981, 78557705, 78557707, 79707516, 79707526, 79707532, 79707760]",[78544961],78544983.0,20260812
Cacna2d1,1,60,0.56305265,1295040,0.44493613,511377,0.89378595,698,0.46178097,58270,0.44269615,453107,"[72119649, 75042246, 78544957, 78544959, 78544961, 78544963, 78544965, 78544979, 78544981, 78557703, 79707530, 79707760, 80409515, 80409519, 80409521]",[78557707],78544983.0,20260812
Cacna2d1,1,61,0.6034396,1295040,0.5142977,511377,0.86399525,698,0.47953078,59309,0.52018684,452068,"[78544955, 78544957, 78544959, 78544961, 78544963, 78557705, 78557707, 78557709, 78557711, 79707516, 79707530, 79707532, 79707760, 80409517, 80409521]",[72119649],78544983.0,20260812
Cacna2d1,1,62,0.6122863,1295040,0.4895344,511377,0.86918426,698,0.4829478,59424,0.49048823,451953,"[72119649, 75042246, 78544953, 78544955, 78544959, 78544963, 78544965, 78557703, 78557705, 78557711, 79707526, 79707760, 80409515, 80409517, 80409519]",[79707530],78544983.0,20260812
Cacna2d1,1,63,0.5846009,1295040,0.45957053,511377,0.83195376,698,0.4507246,59582,0.46074533,451795,"[72119649, 75042246, 78544953, 78544955, 78544979, 78557703, 78557705, 78557707, 78557709, 78557711, 79707516, 79707530, 79707532, 79707760, 80409517]",[79707526],78544983.0,20260812
Cacna2d1,1,64,0.620082,1295040,0.4979599,511377,0.8730128,698,0.49271035,59424,0.49876845,451953,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544961, 78544965, 78544981, 78557707, 78557711, 79707516, 80409515, 80409517, 80409519, 80409521]",[79707530],78544983.0,20260812
