animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment,probe_orientation,sleep_state,pixel_size
71414628,05-3104,73475439,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
70073472,05-2069,70622487,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
702845,2409,2339,Male,Kcnj15,P56,coronal,ISH,2,Nothing,1.63
74899402,06-0345,75081002,Male,Trpm1,P56,coronal,ISH,2,Nothing,1.049
74833331,06-0302,74988762,Male,Klhl9,P56,coronal,ISH,2,Nothing,1.049
702486,1902,1049,Male,Tff1,P56,coronal,ISH,2,Nothing,1.63
72962240,05-3488,74260967,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
70803395,05-2593,71587929,Male,C1ql2,P56,coronal,ISH,2,Nothing,1.049
73568143,05-3622,74405003,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77440648,321-0022,77782311,Female,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
72962240,05-3488,74272041,Male,Cxcl14,P56,coronal,ISH,2,Nothing,1.049
702511,1932,2423,Male,Nfix,P56,coronal,ISH,2,Nothing,1.63
71444841,05-3134,73615572,Male,LOC434236,P56,coronal,ISH,2,Nothing,1.049
74833323,06-0300,74988750,Male,Armc2,P56,coronal,ISH,2,Nothing,1.049
702863,2428,2693,Male,Traf5,P56,coronal,ISH,2,Nothing,1.63
642993,04-0783,67870479,Male,Prkcsh,P56,coronal,ISH,2,Nothing,1.049
72172847,05-3436,74260775,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
74703375,06-0268,74957887,Male,Tmprss5,P56,coronal,ISH,2,Nothing,1.049
702774,2325,1229,Male,Mgp,P56,coronal,ISH,2,Nothing,1.63
702864,2429,2210,Male,Fbxo2,P56,coronal,ISH,2,Nothing,1.63
702524,1947,1405,Male,Prnp,P56,coronal,ISH,2,Nothing,1.63
80007245,321-1592,80409534,Male,Cap1,P56,coronal,ISH,2,Nothing,1.049
68740666,05-0455,72135412,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
711113,310-1488,111869723,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,0.9982
702538,1972,1009,Male,Stxbp1,P56,coronal,ISH,2,Nothing,1.63
73989623,06-0033,74658055,Male,Adap1,P56,coronal,ISH,2,Nothing,1.049
75749877,06-0683,76097699,Male,Golga7b,P56,coronal,ISH,2,Nothing,1.049
101598,04-0330,71708348,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
73502209,05-3563,74357582,Male,Teddm3,P56,coronal,ISH,2,Nothing,1.049
71993655,05-3335,73931422,Male,LOC380720,P56,coronal,ISH,2,Nothing,1.049
74553733,06-0198,74819229,Male,Prdx4,P56,coronal,ISH,2,Nothing,1.049
75180145,06-0477,75749751,Male,Grik1,P56,coronal,ISH,2,Nothing,1.049
